SV Port,svport1928
FC Bützberg,fc_buetzberg
FC Muri-Gümligen,fcmuriguemligen.official
SC Huttwil,schuttwil
FC Aemme,fcaemme
FC Orpund,fcorpund1967
SC Grafenried,sc_grafenried
SC Burgdorf,scburgdorf_official
FC Täuffelen,fctaeuffelen
FC Schüpfen,fc_schuepfen
FC Dürrenast,fcduerrenast
FC Frutigen,fc.frutigen
FC Utzenstorf,fcutzenstorf
FC Nidau,fc_nidau
FC Langnau,fc_langnau_1925
FC Länggasse,fclaenggasse
FC Aurore Bienne,fc_aurore_bienne
FC Ostermundigen,fcostermundigen
FC Spiez,fcspiez
FC Crans,fccransofficiel
FC Miège,fcmiege
CS La Tour-de-Peilz,cs_la_tour_1
FC Chavornay Sports,fcchavornaysports
FC Saint-Légier,fcstlegier
FC St. Niklaus,fczaniglas1961
FC Vernier,fc.vernier
FC Bex,fcbexofficiel
FC Sierre,fcsierre1908
FC Fully,fcfully1935
FC Champel,fcchampel
FC Veyrier Sports,veyriersports
FC Bosna-Yverdon,fcbosna_yverdon
FC Versoix,fcversoix
FC Grand-Saconnex,fcgrandsaconnex
CS Chênois,cs_chenois_officiel
CS Interstar,cs_interstar_officiel
Lancy FC,lancy_football_club
Meyrin FC,meyrinfcofficiel
FC Windisch,fc_windisch2_
FC Obersiggenthal,fc__obersiggenthal
FC Wülflingen,fcwuelflingen_offiziell
FC Buttikon,fcbuttikon1946
FC Wollishofen,fcwollishofen_official
FC Neuenhof,fc_neuenhof_1961
Sporting Club Schaffhausen,sportingclubschaffhausen
SC Siebnen,scsiebnen1958
FC Oberrieden,fcoberrieden
FC Brugg,fcbrugg1914
FC Turgi,fcturgi
FC Kölliken,fckoelliken
FC Richterswil,fcrichterswil
FC Einsiedeln,fc_einsiedeln
FC Ellikon Marthalen,fcellikonmarthalen
FC Thalwil,fc_thalwil
FC Schönenwerd-Niedergösgen,fcsn_offiziell
FC Wädenswil,fcwaedenswil
FC Stäfa 1895,fcstaefa1895
FC Meilen,fcmeilen_official
